epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,26.559,1.8328,0.70455,0.9697,0.86496,0.000219483,0.000219483,0.000219483
2,47.0027,0.74429,0.84659,0.99432,0.442,0.0004389,0.0004389,0.0004389
3,68.1046,0.54451,0.82576,0.99811,0.46246,0.000655383,0.000655383,0.000655383
4,83.9968,0.47816,0.84091,0.99811,0.40356,0.000653793,0.000653793,0.000653793
5,101.847,0.39486,0.88447,0.99811,0.29279,0.000649391,0.000649391,0.000649391
6,121.2,0.32848,0.88447,0.99621,0.32049,0.000644989,0.000644989,0.000644989
7,143.989,0.28733,0.89205,0.99811,0.33213,0.000640587,0.000640587,0.000640587
8,163.659,0.30338,0.88068,0.99621,0.35023,0.000636185,0.000636185,0.000636185
9,184.415,0.26417,0.90341,0.99621,0.31451,0.000631782,0.000631782,0.000631782
10,202.615,0.19581,0.90909,0.99811,0.30381,0.00062738,0.00062738,0.00062738
11,220.735,0.19397,0.91856,0.99811,0.26388,0.000622978,0.000622978,0.000622978
12,238.598,0.19995,0.92803,1,0.21929,0.000618576,0.000618576,0.000618576
13,253.848,0.17441,0.92235,1,0.21741,0.000614174,0.000614174,0.000614174
14,272.992,0.17553,0.91288,1,0.24576,0.000609771,0.000609771,0.000609771
15,289.85,0.16933,0.91477,0.99811,0.23185,0.000605369,0.000605369,0.000605369
16,311.122,0.15008,0.92614,1,0.21741,0.000600967,0.000600967,0.000600967
17,330.883,0.14594,0.91288,1,0.21859,0.000596565,0.000596565,0.000596565
18,349.062,0.15371,0.94318,0.99621,0.20191,0.000592163,0.000592163,0.000592163
19,365.957,0.11085,0.92424,0.99621,0.25971,0.00058776,0.00058776,0.00058776
20,382.253,0.10412,0.94318,0.99811,0.19526,0.000583358,0.000583358,0.000583358
21,402.401,0.105,0.92614,1,0.25404,0.000578956,0.000578956,0.000578956
22,418.05,0.10211,0.94129,1,0.18303,0.000574554,0.000574554,0.000574554
23,435.941,0.11584,0.89962,1,0.25106,0.000570152,0.000570152,0.000570152
24,451.978,0.09901,0.93371,0.99621,0.25318,0.000565749,0.000565749,0.000565749
25,467.657,0.09657,0.94697,0.99621,0.18602,0.000561347,0.000561347,0.000561347
26,485.599,0.12206,0.92803,1,0.19871,0.000556945,0.000556945,0.000556945
27,502.274,0.1136,0.94318,0.99811,0.16455,0.000552543,0.000552543,0.000552543
28,522.627,0.07656,0.94886,0.99811,0.1483,0.000548141,0.000548141,0.000548141
29,540.185,0.0735,0.95265,0.99811,0.16346,0.000543738,0.000543738,0.000543738
30,561.685,0.07197,0.93561,1,0.2268,0.000539336,0.000539336,0.000539336
31,580.435,0.08413,0.93371,0.99621,0.20879,0.000534934,0.000534934,0.000534934
32,599.615,0.09166,0.93371,0.99811,0.18042,0.000530532,0.000530532,0.000530532
33,618.627,0.10601,0.93561,1,0.23805,0.00052613,0.00052613,0.00052613
34,636.654,0.08342,0.95076,1,0.13537,0.000521727,0.000521727,0.000521727
35,658.467,0.07931,0.93939,0.99811,0.21431,0.000517325,0.000517325,0.000517325
36,679.886,0.08678,0.95265,0.99811,0.15009,0.000512923,0.000512923,0.000512923
37,697.397,0.06896,0.95265,1,0.1757,0.000508521,0.000508521,0.000508521
38,717.393,0.07466,0.93371,1,0.20056,0.000504119,0.000504119,0.000504119
39,734.508,0.0766,0.94318,1,0.21061,0.000499716,0.000499716,0.000499716
40,751.956,0.06517,0.93561,0.99811,0.23904,0.000495314,0.000495314,0.000495314
41,770.693,0.06494,0.93371,1,0.20197,0.000490912,0.000490912,0.000490912
42,787.605,0.05756,0.95076,1,0.15278,0.00048651,0.00048651,0.00048651
43,812.042,0.04965,0.95076,1,0.14467,0.000482108,0.000482108,0.000482108
44,827.879,0.04041,0.95076,0.99811,0.17366,0.000477705,0.000477705,0.000477705
45,850.002,0.06489,0.95265,1,0.15218,0.000473303,0.000473303,0.000473303
46,869.294,0.05461,0.96212,0.99811,0.12841,0.000468901,0.000468901,0.000468901
