epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,19.5553,1.84008,0.56439,0.94508,1.22135,0.000219483,0.000219483,0.000219483
2,40.2274,1.12053,0.61174,0.95644,1.06548,0.0004389,0.0004389,0.0004389
3,60.7222,0.93262,0.71402,0.99053,0.77078,0.000655383,0.000655383,0.000655383
4,79.9193,0.87505,0.73674,0.99242,0.89977,0.000653793,0.000653793,0.000653793
5,98.8816,0.72985,0.83712,0.99811,0.46349,0.000649391,0.000649391,0.000649391
6,116.125,0.69109,0.82197,0.99242,0.52119,0.000644989,0.000644989,0.000644989
7,131.044,0.56932,0.81061,0.99432,0.54085,0.000640587,0.000640587,0.000640587
8,147.275,0.5919,0.84848,0.99053,0.39901,0.000636185,0.000636185,0.000636185
9,163.116,0.47688,0.875,1,0.3139,0.000631782,0.000631782,0.000631782
10,180.704,0.43799,0.87311,0.99811,0.38076,0.00062738,0.00062738,0.00062738
11,198.369,0.45534,0.85417,0.99811,0.40469,0.000622978,0.000622978,0.000622978
12,215.091,0.40302,0.89015,0.99811,0.32071,0.000618576,0.000618576,0.000618576
13,229.701,0.37993,0.87311,1,0.33116,0.000614174,0.000614174,0.000614174
14,245.848,0.32612,0.87879,1,0.31879,0.000609771,0.000609771,0.000609771
15,261.212,0.34817,0.83333,0.99053,0.5099,0.000605369,0.000605369,0.000605369
16,277.737,0.32532,0.91098,0.99811,0.28848,0.000600967,0.000600967,0.000600967
17,293.924,0.2788,0.89962,0.99811,0.27614,0.000596565,0.000596565,0.000596565
18,309.522,0.25655,0.89394,1,0.29156,0.000592163,0.000592163,0.000592163
19,326.301,0.27138,0.89583,0.99621,0.31163,0.00058776,0.00058776,0.00058776
20,341.575,0.2484,0.87879,0.99621,0.39495,0.000583358,0.000583358,0.000583358
21,357.987,0.25277,0.86553,0.99811,0.39722,0.000578956,0.000578956,0.000578956
22,373.44,0.24034,0.92614,0.99811,0.1932,0.000574554,0.000574554,0.000574554
23,391.206,0.20454,0.92235,1,0.24511,0.000570152,0.000570152,0.000570152
24,407.1,0.2207,0.92045,0.99811,0.30598,0.000565749,0.000565749,0.000565749
25,423.38,0.21452,0.92235,1,0.23572,0.000561347,0.000561347,0.000561347
26,439.831,0.20325,0.94318,0.99811,0.20517,0.000556945,0.000556945,0.000556945
27,456.187,0.17909,0.93939,0.99811,0.17515,0.000552543,0.000552543,0.000552543
28,472.351,0.18882,0.91098,0.99811,0.2482,0.000548141,0.000548141,0.000548141
29,488.233,0.15943,0.92235,0.99811,0.21933,0.000543738,0.000543738,0.000543738
30,503.666,0.17411,0.93371,1,0.18833,0.000539336,0.000539336,0.000539336
31,519.808,0.18653,0.91098,0.99811,0.29712,0.000534934,0.000534934,0.000534934
32,535.007,0.18188,0.91098,1,0.28861,0.000530532,0.000530532,0.000530532
33,552.347,0.16714,0.90341,0.99811,0.2934,0.00052613,0.00052613,0.00052613
34,567.226,0.15319,0.93371,1,0.174,0.000521727,0.000521727,0.000521727
35,583.965,0.14275,0.92803,0.99811,0.20405,0.000517325,0.000517325,0.000517325
36,599.245,0.13654,0.92614,0.99621,0.3104,0.000512923,0.000512923,0.000512923
37,616.118,0.14516,0.94129,1,0.22673,0.000508521,0.000508521,0.000508521
38,631.355,0.15452,0.91667,1,0.24592,0.000504119,0.000504119,0.000504119
39,647.787,0.13644,0.9375,1,0.24561,0.000499716,0.000499716,0.000499716
40,664.359,0.12078,0.94129,0.99811,0.18409,0.000495314,0.000495314,0.000495314
41,679.431,0.12341,0.91667,1,0.24275,0.000490912,0.000490912,0.000490912
42,695.079,0.13639,0.92992,1,0.2307,0.00048651,0.00048651,0.00048651
43,711.267,0.10661,0.93182,1,0.23785,0.000482108,0.000482108,0.000482108
44,726.11,0.13254,0.91098,0.99811,0.31097,0.000477705,0.000477705,0.000477705
45,742.641,0.12444,0.92045,0.99811,0.2776,0.000473303,0.000473303,0.000473303
46,757.999,0.11314,0.93371,0.99811,0.25372,0.000468901,0.000468901,0.000468901
47,774.589,0.1204,0.93561,1,0.20447,0.000464499,0.000464499,0.000464499
48,790.585,0.11022,0.9375,1,0.20133,0.000460097,0.000460097,0.000460097
49,806.66,0.09963,0.94886,1,0.14977,0.000455694,0.000455694,0.000455694
50,820.907,0.10205,0.92992,1,0.25741,0.000451292,0.000451292,0.000451292
51,839.533,0.10849,0.94886,1,0.18129,0.00044689,0.00044689,0.00044689
52,854.268,0.09591,0.92803,0.99811,0.23419,0.000442488,0.000442488,0.000442488
53,870.161,0.09372,0.94697,0.99811,0.18513,0.000438086,0.000438086,0.000438086
54,885.821,0.10371,0.94697,0.99811,0.27664,0.000433683,0.000433683,0.000433683
55,903.173,0.08472,0.94886,0.99811,0.20067,0.000429281,0.000429281,0.000429281
56,918.558,0.10246,0.94129,0.99811,0.18277,0.000424879,0.000424879,0.000424879
57,934.195,0.08184,0.94508,1,0.17733,0.000420477,0.000420477,0.000420477
58,950.237,0.07441,0.93182,0.99811,0.28883,0.000416075,0.000416075,0.000416075
59,965.978,0.08554,0.94318,1,0.19449,0.000411672,0.000411672,0.000411672
60,982.016,0.08634,0.94508,0.99811,0.18747,0.00040727,0.00040727,0.00040727
61,997.891,0.07259,0.94697,0.99621,0.2447,0.000402868,0.000402868,0.000402868
62,1013.96,0.08365,0.94697,1,0.17386,0.000398466,0.000398466,0.000398466
63,1029.82,0.06437,0.94886,1,0.17959,0.000394064,0.000394064,0.000394064
64,1046.33,0.07475,0.95076,1,0.18481,0.000389661,0.000389661,0.000389661
65,1062.84,0.07413,0.94886,0.99811,0.1835,0.000385259,0.000385259,0.000385259
66,1079.63,0.06757,0.94697,0.99811,0.25241,0.000380857,0.000380857,0.000380857
67,1094.93,0.09442,0.93182,0.99811,0.32968,0.000376455,0.000376455,0.000376455
68,1111.6,0.07622,0.93371,0.99621,0.20464,0.000372053,0.000372053,0.000372053
69,1130.21,0.0809,0.95833,0.99811,0.17476,0.00036765,0.00036765,0.00036765
70,1145.06,0.07973,0.92992,1,0.193,0.000363248,0.000363248,0.000363248
71,1161.05,0.06946,0.92614,0.99811,0.23196,0.000358846,0.000358846,0.000358846
72,1176.73,0.07315,0.9375,1,0.19805,0.000354444,0.000354444,0.000354444
73,1192.08,0.0707,0.95455,0.99811,0.27675,0.000350042,0.000350042,0.000350042
74,1208.37,0.08075,0.94129,1,0.23963,0.000345639,0.000345639,0.000345639
75,1223.68,0.06684,0.94318,1,0.17852,0.000341237,0.000341237,0.000341237
76,1239.83,0.07531,0.95455,0.99811,0.17779,0.000336835,0.000336835,0.000336835
77,1256.41,0.0692,0.93561,1,0.20312,0.000332433,0.000332433,0.000332433
78,1271.39,0.06564,0.94508,0.99811,0.26624,0.000328031,0.000328031,0.000328031
79,1286.75,0.06689,0.93561,0.99811,0.2043,0.000323628,0.000323628,0.000323628
80,1303.67,0.06502,0.94886,0.99811,0.21409,0.000319226,0.000319226,0.000319226
81,1319.09,0.05903,0.93182,0.99811,0.30528,0.000314824,0.000314824,0.000314824
82,1335.79,0.06288,0.95265,0.99811,0.17881,0.000310422,0.000310422,0.000310422
83,1351.03,0.05832,0.95076,0.99811,0.18655,0.00030602,0.00030602,0.00030602
84,1366.98,0.05413,0.94697,0.99811,0.20033,0.000301617,0.000301617,0.000301617
85,1384.3,0.05309,0.94318,1,0.21738,0.000297215,0.000297215,0.000297215
86,1399.67,0.04656,0.93371,0.99811,0.25784,0.000292813,0.000292813,0.000292813
87,1415.46,0.05224,0.94508,0.99811,0.20399,0.000288411,0.000288411,0.000288411
88,1431.83,0.03814,0.93939,0.99811,0.20145,0.000284009,0.000284009,0.000284009
89,1447.39,0.04966,0.94129,1,0.19246,0.000279606,0.000279606,0.000279606
90,1464.05,0.04449,0.93371,1,0.22608,0.000275204,0.000275204,0.000275204
91,1480.91,0.05063,0.94508,0.99811,0.16692,0.000270802,0.000270802,0.000270802
92,1496.32,0.04091,0.95076,1,0.21804,0.0002664,0.0002664,0.0002664
93,1512.51,0.04815,0.94697,1,0.22889,0.000261998,0.000261998,0.000261998
94,1528.44,0.03752,0.94886,1,0.24729,0.000257595,0.000257595,0.000257595
95,1544.49,0.04893,0.94697,1,0.2074,0.000253193,0.000253193,0.000253193
96,1560.38,0.04982,0.93561,1,0.213,0.000248791,0.000248791,0.000248791
97,1576.85,0.04048,0.95076,1,0.19138,0.000244389,0.000244389,0.000244389
98,1593,0.04178,0.94697,1,0.15854,0.000239987,0.000239987,0.000239987
99,1608.99,0.03534,0.93939,0.99811,0.24453,0.000235584,0.000235584,0.000235584
100,1626.33,0.03898,0.94886,0.99811,0.2108,0.000231182,0.000231182,0.000231182
101,1642.22,0.04692,0.94318,1,0.24297,0.00022678,0.00022678,0.00022678
102,1659.7,0.03489,0.94508,1,0.19853,0.000222378,0.000222378,0.000222378
103,1676.47,0.03298,0.94886,1,0.179,0.000217976,0.000217976,0.000217976
104,1692.67,0.03893,0.94886,1,0.16238,0.000213573,0.000213573,0.000213573
105,1708.66,0.0318,0.94697,1,0.15779,0.000209171,0.000209171,0.000209171
106,1726.05,0.03087,0.95455,0.99811,0.17508,0.000204769,0.000204769,0.000204769
107,1741.07,0.02988,0.94318,0.99811,0.24269,0.000200367,0.000200367,0.000200367
108,1757.26,0.03535,0.95265,0.99811,0.19412,0.000195965,0.000195965,0.000195965
109,1773.55,0.04145,0.95644,1,0.25408,0.000191562,0.000191562,0.000191562
110,1788.55,0.03316,0.94886,0.99811,0.20158,0.00018716,0.00018716,0.00018716
111,1805.48,0.03139,0.95833,1,0.16632,0.000182758,0.000182758,0.000182758
112,1821.77,0.02688,0.95455,0.99811,0.1833,0.000178356,0.000178356,0.000178356
113,1838.11,0.03102,0.96402,1,0.1572,0.000173954,0.000173954,0.000173954
114,1854.93,0.02432,0.96212,1,0.15659,0.000169551,0.000169551,0.000169551
115,1870.96,0.03577,0.95644,1,0.18266,0.000165149,0.000165149,0.000165149
116,1887.54,0.03382,0.95076,0.99811,0.21472,0.000160747,0.000160747,0.000160747
117,1905.03,0.02781,0.95644,0.99811,0.22978,0.000156345,0.000156345,0.000156345
118,1920.15,0.0348,0.95265,0.99811,0.22107,0.000151943,0.000151943,0.000151943
119,1936.42,0.02317,0.95455,0.99811,0.24721,0.00014754,0.00014754,0.00014754
120,1952.64,0.02447,0.95833,0.99811,0.22715,0.000143138,0.000143138,0.000143138
121,1968.49,0.0248,0.95265,0.99811,0.20293,0.000138736,0.000138736,0.000138736
122,1984.86,0.02787,0.95265,0.99811,0.21036,0.000134334,0.000134334,0.000134334
123,2000.94,0.01842,0.95265,0.99811,0.20601,0.000129932,0.000129932,0.000129932
124,2016.05,0.02604,0.95076,0.99811,0.21152,0.000125529,0.000125529,0.000125529
125,2033.02,0.02923,0.94697,1,0.23831,0.000121127,0.000121127,0.000121127
126,2048.27,0.02744,0.95455,1,0.22614,0.000116725,0.000116725,0.000116725
127,2064.22,0.02593,0.95455,1,0.20795,0.000112323,0.000112323,0.000112323
128,2079.47,0.02533,0.96212,1,0.14303,0.000107921,0.000107921,0.000107921
129,2095.35,0.02082,0.95833,1,0.18925,0.000103518,0.000103518,0.000103518
130,2111.47,0.0162,0.96212,1,0.16573,9.91162e-05,9.91162e-05,9.91162e-05
131,2127.54,0.0242,0.96023,1,0.14757,9.4714e-05,9.4714e-05,9.4714e-05
132,2144.54,0.02157,0.95644,0.99811,0.15572,9.03118e-05,9.03118e-05,9.03118e-05
133,2160.23,0.02363,0.95644,0.99811,0.19017,8.59096e-05,8.59096e-05,8.59096e-05
134,2176.12,0.02408,0.95265,0.99811,0.16685,8.15074e-05,8.15074e-05,8.15074e-05
135,2192.57,0.02017,0.96402,0.99811,0.15267,7.71052e-05,7.71052e-05,7.71052e-05
136,2209.12,0.01789,0.96402,1,0.17712,7.2703e-05,7.2703e-05,7.2703e-05
137,2224.91,0.01437,0.95644,1,0.19658,6.83008e-05,6.83008e-05,6.83008e-05
138,2241.09,0.01819,0.95833,1,0.15215,6.38986e-05,6.38986e-05,6.38986e-05
139,2256.68,0.02013,0.96023,1,0.14878,5.94964e-05,5.94964e-05,5.94964e-05
140,2272.47,0.02181,0.96023,1,0.15035,5.50942e-05,5.50942e-05,5.50942e-05
141,2292.59,0.01885,0.96591,1,0.13539,5.0692e-05,5.0692e-05,5.0692e-05
142,2308.15,0.01964,0.96023,1,0.1386,4.62898e-05,4.62898e-05,4.62898e-05
143,2324.7,0.01143,0.96023,1,0.14627,4.18876e-05,4.18876e-05,4.18876e-05
144,2340.39,0.01499,0.95833,1,0.15384,3.74854e-05,3.74854e-05,3.74854e-05
145,2357.63,0.01407,0.95833,1,0.1914,3.30832e-05,3.30832e-05,3.30832e-05
146,2373.91,0.01663,0.95644,1,0.16712,2.8681e-05,2.8681e-05,2.8681e-05
147,2389.54,0.01123,0.95644,1,0.1538,2.42788e-05,2.42788e-05,2.42788e-05
148,2405.52,0.01693,0.95644,1,0.15456,1.98766e-05,1.98766e-05,1.98766e-05
149,2420.94,0.01832,0.95644,1,0.15311,1.54744e-05,1.54744e-05,1.54744e-05
150,2438.87,0.01437,0.95644,1,0.16777,1.10722e-05,1.10722e-05,1.10722e-05
